CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4582,5,No,weiafk,249,2013-01-29 00:00:00,Yes
27105,,No,GermanTron,613,2023-12-06 00:00:00,Yes
26470,,No,KyleJCrb,502,2023-05-23 00:00:00,Yes
26296,,No,suegrini,968,2023-02-07 00:00:00,Yes
25963,,No,Logan1109,638,2022-11-28 00:00:00,Yes
21422,,Yes,x-zero,720,2017-08-31 00:00:00,Yes
19974,,No,smokemonster,670,2016-10-11 00:00:00,Yes
19298,,No,Zarks,854,2016-05-19 00:00:00,Yes
18126,,No,Casperr,404,2016-01-03 00:00:00,Yes
14492,,No,retrogamer343,583,2015-08-05 00:00:00,Yes
14403,,Yes,Camilleons,244,2015-07-17 00:00:00,Yes
13694,,No,Lurker,235,2015-05-15 00:00:00,Yes
13693,,No,Lurker,229,2015-05-15 00:00:00,Yes
13692,,No,Lurker,240,2015-05-15 00:00:00,Yes
13691,,No,Lurker,262,2015-05-15 00:00:00,Yes
13690,,No,Lurker,235,2015-05-15 00:00:00,Yes
10649,,No,Lurker,324,2014-12-06 00:00:00,Yes
10648,,No,Lurker,223,2014-12-06 00:00:00,Yes
10647,,No,Lurker,214,2014-12-06 00:00:00,Yes
10107,,No,Goderk,443,2014-11-14 00:00:00,Yes
7301,,No,Lurker,369,2014-07-25 00:00:00,Yes
