CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
109,5,Yes,TraJiK,556,2011-02-20 00:00:00,Yes
1307,0,No,TraJiK,466,2011-03-16 00:00:00,Yes
1238,0,No,TraJiK,471,2011-03-14 00:00:00,Yes
1023,0,No,TraJiK,559,2011-03-07 00:00:00,Yes
25486,,No,Zaikrot,931,2022-06-23 00:00:00,Yes
23654,,No,angiealphax,1033,2019-09-01 00:00:00,Yes
21242,,No,Level_UP,836,2017-06-17 00:00:00,Yes
20738,,No,handy,1068,2017-01-15 00:00:00,Yes
14788,,No,SraBigBoss,1214,2015-09-10 00:00:00,Yes
10533,,No,sanjikunz,232,2014-12-01 00:00:00,Yes
7877,,No,QuattroGam3r,344,2014-09-02 00:00:00,Yes
