CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
775,5,Yes,TraJiK,112,2011-02-26 00:00:00,Yes
27081,,No,GermanTron,685,2023-12-06 00:00:00,Yes
26289,,No,suegrini,818,2023-02-07 00:00:00,Yes
26210,,No,suegrini,812,2023-01-27 00:00:00,Yes
26211,,No,suegrini,803,2023-01-27 00:00:00,Yes
24704,,Yes,MushroomKnight,683,2021-05-29 00:00:00,Yes
24318,,No,SARUEW SENSEI,1045,2020-12-08 00:00:00,Yes
23474,,No,MushroomKnight,683,2019-06-14 00:00:00,Yes
21872,,No,MoBy41,868,2017-11-12 00:00:00,Yes
17983,,No,Casperr,369,2016-01-02 00:00:00,Yes
14526,,No,retrogamer343,620,2015-08-08 00:00:00,Yes
14390,,Yes,Camilleons,187,2015-07-17 00:00:00,Yes
12729,,No,MushroomKnight,612,2015-03-03 00:00:00,Yes
12685,,No,Destructo99,940,2015-03-02 00:00:00,Yes
