CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
2931,0,0,weber,533,2012-01-25 00:00:00,Yes
25061,,0,AlDaHiR635 ,674,2021-10-18 00:00:00,Yes
24624,,0,Gus92,1106,2021-05-13 00:00:00,Yes
22659,,0,Joestar1987,895,2018-06-28 00:00:00,Yes
19241,,0,smokemonster,1114,2016-05-05 00:00:00,Yes
17931,,0,Casperr,379,2016-01-02 00:00:00,Yes
16841,,0,mostwantedzetaRK,1375,2015-12-16 00:00:00,Yes
14621,,0,Sleeplessone22,917,2015-08-25 00:00:00,Yes
10416,,0,Sisee,953,2014-11-24 00:00:00,Yes
10081,,0,MushroomKnight,368,2014-11-14 00:00:00,Yes
