CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4137,5,No,Speed_ZGZ,241,2012-11-02 00:00:00,Yes
4104,5,Yes,Speed_ZGZ,496,2012-10-30 00:00:00,Yes
2032,3,Yes,Yannis100,186,2011-05-23 00:00:00,Yes
23686,,No,TechHunt,544,2019-10-12 00:00:00,Yes
23245,,Yes,Agamaster,743,2019-01-10 00:00:00,Yes
22251,,No,linewalker90,757,2018-02-19 00:00:00,Yes
22252,,No,linewalker90,282,2018-02-19 00:00:00,Yes
21355,,No,tallaito,221,2017-08-04 00:00:00,Yes
21356,,No,tallaito,303,2017-08-04 00:00:00,Yes
11505,,No,T3KNOSIS,566,2015-01-16 00:00:00,Yes
10246,,No,thevisitor,288,2014-11-18 00:00:00,Yes
