CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
24929,,No,muv1k,210,2021-07-02 00:00:00,Yes
24928,,No,muv1k,275,2021-07-02 00:00:00,Yes
24927,,No,muv1k,502,2021-07-02 00:00:00,Yes
24926,,No,muv1k,894,2021-07-01 00:00:00,Yes
21896,,No,MoBy41,1202,2017-11-12 00:00:00,Yes
18970,,No,Lurker,350,2016-03-11 00:00:00,Yes
18853,,No,HawkEight360,357,2016-02-11 00:00:00,Yes
17938,,No,Casperr,321,2016-01-02 00:00:00,Yes
15490,,No,GSV,856,2015-11-09 00:00:00,Yes
15482,,No,Lionhart0,868,2015-11-08 00:00:00,Yes
15164,,No,HawkEight360,554,2015-10-26 00:00:00,Yes
14559,,No,Erunan,847,2015-08-12 00:00:00,Yes
13041,,No,Scarn,458,2015-04-03 00:00:00,Yes
12796,,No,Lurker,350,2015-03-09 00:00:00,Yes
12350,,No,MushroomKnight,517,2015-02-10 00:00:00,Yes
12266,,No,Lurker,479,2015-02-05 00:00:00,Yes
12214,,No,MT2,812,2015-02-03 00:00:00,Yes
12175,,No,Lurker,533,2015-02-02 00:00:00,Yes
12150,,No,pesxdz,689,2015-01-31 00:00:00,Yes
12161,,No,szymonk19,709,2015-01-31 00:00:00,Yes
