CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4381,5,No,mupman,623,2012-12-04 00:00:00,Yes
3578,5,Yes,orenyellow,728,2012-06-28 00:00:00,Yes
3500,3,No,mullerrice,563,2012-06-15 00:00:00,Yes
5670,1,Yes,irishdave,234,2013-09-12 00:00:00,Yes
27914,,Yes,IChoseRapture95,546,2024-10-20 00:00:00,Yes
27816,,No,xD0UG13 FR3SHx,679,2024-10-05 00:00:00,Yes
25199,,No,LogicalXero,1073,2022-01-14 00:00:00,Yes
24219,,No,SupershalloBoy,713,2020-10-25 00:00:00,Yes
23239,,Yes,Agamaster,1357,2019-01-10 00:00:00,Yes
19584,,No,JimmyX,1542,2016-07-28 00:00:00,Yes
14142,,No,theSly,1187,2015-06-18 00:00:00,Yes
13457,,No,Alex17rus,1297,2015-05-01 00:00:00,Yes
12586,,No,tallaito,1010,2015-02-25 00:00:00,Yes
11749,,No,alice989,177,2015-01-24 00:00:00,Yes
10683,,No,retrogamer343,413,2014-12-09 00:00:00,Yes
10561,,No,retrogamer343,672,2014-12-02 00:00:00,Yes
9814,,No,Sisee,1053,2014-11-08 00:00:00,Yes
9813,,No,Sisee,1067,2014-11-08 00:00:00,Yes
