CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
5922,5,0,absolon,217,2013-10-20 00:00:00,Yes
27039,,0,GermanTron,807,2023-12-06 00:00:00,Yes
26467,,1,KyleJCrb,958,2023-05-23 00:00:00,Yes
24657,,1,MushroomKnight,616,2021-05-29 00:00:00,Yes
20570,,0,seymorebutts,625,2016-12-22 00:00:00,Yes
17697,,0,Casperr,332,2016-01-01 00:00:00,Yes
14357,,1,Camilleons,261,2015-07-17 00:00:00,Yes
12334,,0,Lurker,326,2015-02-09 00:00:00,Yes
12335,,0,Lurker,415,2015-02-09 00:00:00,Yes
10012,,0,Goderk,501,2014-11-12 00:00:00,Yes
7280,,0,Lurker,295,2014-07-24 00:00:00,Yes
