CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
2890,4,Yes,garentz,160,2012-01-08 00:00:00,Yes
312,4,Yes,TraJiK,620,2011-02-21 00:00:00,Yes
27936,,Yes,IChoseRapture95,543,2024-10-20 00:00:00,Yes
27584,,Yes,mr_drew,591,2024-06-29 00:00:00,Yes
27585,,Yes,mr_drew,1012,2024-06-29 00:00:00,Yes
25991,,Yes,RefosLastKnight,288,2022-12-05 00:00:00,Yes
25500,,No,RefosLastKnight,288,2022-06-29 00:00:00,Yes
22088,,Yes,Dubstep190,1181,2018-01-17 00:00:00,Yes
15374,,No,PIETKApl,589,2015-11-05 00:00:00,Yes
15375,,No,PIETKApl,577,2015-11-05 00:00:00,Yes
14281,,No,GSV,976,2015-07-07 00:00:00,Yes
11855,,No,alice989,81,2015-01-24 00:00:00,Yes
8507,,No,Lurker,192,2014-09-18 00:00:00,Yes
8508,,No,Lurker,523,2014-09-18 00:00:00,Yes
8509,,No,Lurker,251,2014-09-18 00:00:00,Yes
